Kommunenummer	Stadnamn	Prioritet	Kommune	Fylke	Nynorsk	Bokmål	Engelsk
1828	Saura	50	Nesna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Nesna/Saura/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Nesna/Saura/varsel.xml	http://www.yr.no/place/Norway/Nordland/Nesna/Saura/varsel.xml
1828	Vikholmen	50	Nesna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Nesna/Vikholmen/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Nesna/Vikholmen/varsel.xml	http://www.yr.no/place/Norway/Nordland/Nesna/Vikholmen/varsel.xml
1832	Korgen	30	Hemnes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Hemnes/Korgen/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Hemnes/Korgen/varsel.xml	http://www.yr.no/place/Norway/Nordland/Hemnes/Korgen/varsel.xml
1832	Bjerka	50	Hemnes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Hemnes/Bjerka/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Hemnes/Bjerka/varsel.xml	http://www.yr.no/place/Norway/Nordland/Hemnes/Bjerka/varsel.xml
1832	Bleikvasslia	50	Hemnes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Hemnes/Bleikvasslia/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Hemnes/Bleikvasslia/varsel.xml	http://www.yr.no/place/Norway/Nordland/Hemnes/Bleikvasslia/varsel.xml
1832	Finneidfjord	50	Hemnes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Hemnes/Finneidfjord/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Hemnes/Finneidfjord/varsel.xml	http://www.yr.no/place/Norway/Nordland/Hemnes/Finneidfjord/varsel.xml
1832	Hemnesberget	50	Hemnes	Nordland	http://www.yr.no/stad/Noreg/Nordland/Hemnes/Hemnesberget/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Hemnes/Hemnesberget/varsel.xml	http://www.yr.no/place/Norway/Nordland/Hemnes/Hemnesberget/varsel.xml
1833	Mo i Rana	25	Rana	Nordland	http://www.yr.no/stad/Noreg/Nordland/Rana/Mo_i_Rana/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Rana/Mo_i_Rana/varsel.xml	http://www.yr.no/place/Norway/Nordland/Rana/Mo_i_Rana/varsel.xml
1833	Dalsgrenda	50	Rana	Nordland	http://www.yr.no/stad/Noreg/Nordland/Rana/Dalsgrenda/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Rana/Dalsgrenda/varsel.xml	http://www.yr.no/place/Norway/Nordland/Rana/Dalsgrenda/varsel.xml
1833	Polarsirkelsenteret	50	Rana	Nordland	http://www.yr.no/stad/Noreg/Nordland/Rana/Polarsirkelsenteret/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Rana/Polarsirkelsenteret/varsel.xml	http://www.yr.no/place/Norway/Nordland/Rana/Polarsirkelsenteret/varsel.xml
1833	Storforshei	50	Rana	Nordland	http://www.yr.no/stad/Noreg/Nordland/Rana/Storforshei/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Rana/Storforshei/varsel.xml	http://www.yr.no/place/Norway/Nordland/Rana/Storforshei/varsel.xml
1833	Utskarpen	50	Rana	Nordland	http://www.yr.no/stad/Noreg/Nordland/Rana/Utskarpen/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Rana/Utskarpen/varsel.xml	http://www.yr.no/place/Norway/Nordland/Rana/Utskarpen/varsel.xml
1834	Lurøy	30	Lurøy	Nordland	http://www.yr.no/stad/Noreg/Nordland/Lurøy/Lurøy/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Lurøy/Lurøy/varsel.xml	http://www.yr.no/place/Norway/Nordland/Lurøy/Lurøy/varsel.xml
1834	Lovund	50	Lurøy	Nordland	http://www.yr.no/stad/Noreg/Nordland/Lurøy/Lovund/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Lurøy/Lovund/varsel.xml	http://www.yr.no/place/Norway/Nordland/Lurøy/Lovund/varsel.xml
1834	Sleneset	50	Lurøy	Nordland	http://www.yr.no/stad/Noreg/Nordland/Lurøy/Sleneset/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Lurøy/Sleneset/varsel.xml	http://www.yr.no/place/Norway/Nordland/Lurøy/Sleneset/varsel.xml
1834	Stokkvågen	50	Lurøy	Nordland	http://www.yr.no/stad/Noreg/Nordland/Lurøy/Stokkvågen/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Lurøy/Stokkvågen/varsel.xml	http://www.yr.no/place/Norway/Nordland/Lurøy/Stokkvågen/varsel.xml
1834	Tonnes	50	Lurøy	Nordland	http://www.yr.no/stad/Noreg/Nordland/Lurøy/Tonnes/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Lurøy/Tonnes/varsel.xml	http://www.yr.no/place/Norway/Nordland/Lurøy/Tonnes/varsel.xml
1835	Husøy	30	Træna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Træna/Husøy/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Træna/Husøy/varsel.xml	http://www.yr.no/place/Norway/Nordland/Træna/Husøy/varsel.xml
1835	Båsan	60	Træna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Træna/Båsan/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Træna/Båsan/varsel.xml	http://www.yr.no/place/Norway/Nordland/Træna/Båsan/varsel.xml
1835	Træna fyr	60	Træna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Træna/Træna_fyr/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Træna/Træna_fyr/varsel.xml	http://www.yr.no/place/Norway/Nordland/Træna/Træna_fyr/varsel.xml
1835	Trænstaven	60	Træna	Nordland	http://www.yr.no/stad/Noreg/Nordland/Træna/Trænstaven/varsel.xml	http://www.yr.no/sted/Norge/Nordland/Træna/Trænstaven/varsel.xml	http://www.yr.no/place/Norway/Nordland/Træna/Trænstaven/varsel.xml
